id,user_id,username,action,details,ip,timestamp
80,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:32:43
79,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:32:34
78,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:29:30
77,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:29:24
76,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:29:07
75,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:28:52
74,1.0,admin,view_history,"{""returned_count"": 4}",127.0.0.1,2025-11-14 10:23:01
73,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:19:40
72,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:14:57
71,1.0,admin,view_history,"{""returned_count"": 4}",127.0.0.1,2025-11-14 10:14:32
70,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:14:30
69,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:14:22
68,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:13:44
67,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:13:42
66,3.0,Priyanka,logout,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:13:35
65,3.0,Priyanka,view_history,"{""returned_count"": 1}",127.0.0.1,2025-11-14 10:13:30
64,3.0,Priyanka,predict,"{""input"": {""living area"": 5000.0, ""number of bedrooms"": 4.0, ""number of bathrooms"": 2.0, ""number of floors"": 1.0, ""condition of the house"": 4.0, ""grade of the house"": 10.0, ""Area of the house(excluding basement)"": 1600.0, ""Area of the basement"": 3000.0, ""Built Year"": 2005.0}, ""predicted_price"": 1011784.8493675168}",127.0.0.1,2025-11-14 10:13:10
63,3.0,Priyanka,login,"{""username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:12:43
62,,,signup,"{""created_username"": ""Priyanka""}",127.0.0.1,2025-11-14 10:12:33
61,1.0,admin,logout,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:12:13
60,1.0,admin,view_history,"{""returned_count"": 4}",127.0.0.1,2025-11-14 10:12:02
59,1.0,admin,view_history,"{""returned_count"": 4}",127.0.0.1,2025-11-14 10:11:37
58,1.0,admin,login,"{""username"": ""admin""}",127.0.0.1,2025-11-14 10:11:26
57,2.0,Lakshit,logout,"{""username"": ""Lakshit""}",127.0.0.1,2025-11-14 10:11:18
56,2.0,Lakshit,view_history,"{""returned_count"": 2}",127.0.0.1,2025-11-14 10:08:54
55,2.0,Lakshit,login,"{""username"": ""Lakshit""}",127.0.0.1,2025-11-14 10:08:49
54,2.0,Lakshit,logout,"{""username"": ""Lakshit""}",127.0.0.1,2025-11-14 10:08:42
53,2.0,Lakshit,view_history,"{""returned_count"": 2}",127.0.0.1,2025-11-14 10:08:35
52,2.0,Lakshit,predict,"{""input"": {""living area"": 3000.0, ""number of bedrooms"": 3.0, ""number of bathrooms"": 2.0, ""number of floors"": 2.0, ""condition of the house"": 5.0, ""grade of the house"": 10.0, ""Area of the house(excluding basement)"": 2600.0, ""Area of the basement"": 500.0, ""Built Year"": 2005.0}, ""predicted_price"": 1025482.7274563541}",127.0.0.1,2025-11-14 10:08:21
51,2.0,Lakshit,login,"{""username"": ""Lakshit""}",127.0.0.1,2025-11-14 10:06:51
